        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2019-08-24 21:59:57 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            666   ,         29   ,                       13   ,                  11   ,                    1   ,                    41.7   ,                        13.9   ,              16   , 0.7060   ,               39.4   ,                  7077   ,
2019-08-24 21:59:58 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            666   ,         29   ,                       13   ,                  10   ,                    1   ,                    41.1   ,                        13.7   ,              16   , 0.7060   ,               39.5   ,                  7074   ,
2019-08-24 21:59:59 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            666   ,         29   ,                       13   ,                  11   ,                    1   ,                    41.2   ,                        13.7   ,              16   , 0.7060   ,               39.9   ,                  7074   ,
2019-08-24 22:00:00 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            666   ,         29   ,                       13   ,                  11   ,                    1   ,                    41.7   ,                        13.9   ,              16   , 0.7060   ,               40.0   ,                  7075   ,
2019-08-24 22:00:01 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            666   ,         30   ,                       13   ,                  11   ,                    1   ,                    41.3   ,                        13.8   ,              16   , 0.7060   ,               39.9   ,                  7041   ,
2019-08-24 22:00:02 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            676   ,         30   ,                       13   ,                  11   ,                    1   ,                    42.9   ,                        14.3   ,              16   , 0.7060   ,               40.0   ,                  7096   ,
2019-08-24 22:00:03 ,         435.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            685   ,         37   ,                       16   ,                  12   ,                    2   ,                    42.5   ,                        14.2   ,              16   , 0.7060   ,               40.0   ,                  7125   ,
2019-08-24 22:00:04 ,         435.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            680   ,         35   ,                       16   ,                  12   ,                    3   ,                    41.6   ,                        13.9   ,              16   , 0.7060   ,               40.0   ,                  7115   ,
2019-08-24 22:00:05 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            682   ,         31   ,                       14   ,                  11   ,                    2   ,                    41.9   ,                        14.0   ,              16   , 0.7060   ,               39.9   ,                  7111   ,
2019-08-24 22:00:06 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            678   ,         32   ,                       14   ,                  10   ,                    2   ,                    42.0   ,                        14.0   ,              16   , 0.7060   ,               39.8   ,                  7108   ,
2019-08-24 22:00:07 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            678   ,         32   ,                       14   ,                  10   ,                    2   ,                    41.7   ,                        13.9   ,              16   , 0.7060   ,               39.8   ,                  7104   ,
2019-08-24 22:00:08 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            677   ,         31   ,                       14   ,                  10   ,                    2   ,                    41.7   ,                        13.9   ,              16   , 0.7060   ,               39.8   ,                  7110   ,
2019-08-24 22:00:09 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            651   ,         31   ,                       14   ,                  11   ,                    2   ,                    41.4   ,                        13.8   ,              16   , 0.7060   ,               39.8   ,                  7109   ,
2019-08-24 22:00:10 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            663   ,         31   ,                       14   ,                  10   ,                    2   ,                    42.4   ,                        14.1   ,              16   , 0.7060   ,               39.8   ,                  7113   ,
2019-08-24 22:00:11 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            663   ,         32   ,                       15   ,                  10   ,                    2   ,                    41.6   ,                        13.9   ,              16   , 0.7060   ,               39.8   ,                  7115   ,
2019-08-24 22:00:12 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            663   ,         32   ,                       14   ,                  11   ,                    2   ,                    42.0   ,                        14.0   ,              16   , 0.7060   ,               39.8   ,                  7114   ,
